Source_File,Headword,Tag,Ending,Count,Percent
TC4_gui_complete.csv,finden,v%inf,-en,1,50.00%
TC4_gui_complete.csv,bathen,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,compleinen,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,transmeuen,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,biwepen,v%ppl_abs,-en,1,100.00%
TC4_gui_complete.csv,encresen,v%inf,-e,1,100.00%
TC4_gui_complete.csv,menen,v%pr_1,-e,2,100.00%
TC4_gui_complete.csv,distourben,v%inf,-e,1,50.00%
TC4_gui_complete.csv,distourben,v%inf,-en,1,50.00%
TC4_gui_complete.csv,lakken,v%inf,-e,1,50.00%
TC4_gui_complete.csv,lakken,v%inf,-en,1,50.00%
TC4_gui_complete.csv,lesen,v%ppl,-n,1,100.00%
TC4_gui_complete.csv,disponen,v%pr_3,other,1,100.00%
TC4_gui_complete.csv,deceiven,v%ppl,-ed,2,100.00%
TC4_gui_complete.csv,purveien,v%ppl,-ed,3,75.00%
TC4_gui_complete.csv,purveien,v%ppl,-d,1,25.00%
TC4_gui_complete.csv,purveien,v%pr_3,-eth,1,100.00%
TC4_gui_complete.csv,labouren,v%pt_1,-ed,1,100.00%
TC4_gui_complete.csv,enqueren,v%inf,-en,1,100.00%
TC4_gui_complete.csv,bihoven,v%pr_3,-eth,2,100.00%
TC4_gui_complete.csv,putten,v%pr_3,-t,1,100.00%
TC4_gui_complete.csv,putten,v%imp,-t,1,100.00%
TC4_gui_complete.csv,putten,v%inf,-te,1,100.00%
TC4_gui_complete.csv,conjecten,v%pr_2,-est,1,100.00%
TC4_gui_complete.csv,enterchaungen,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,bitiden,v%pr_pl,-en,1,100.00%
TC4_gui_complete.csv,suffisen,v%pr_3,-eth,1,100.00%
TC4_gui_complete.csv,disputen,v%prp_abs,other,1,100.00%
TC4_gui_complete.csv,fordon,v%inf,-n,1,100.00%
TC4_gui_complete.csv,returnen,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,returnen,v%pr_2,-e,1,100.00%
TC4_gui_complete.csv,weiken,v%inf,-en,1,100.00%
TC4_gui_complete.csv,ebben,v%inf,-en,1,100.00%
TC4_gui_complete.csv,breken,v#adj%ppl,-en,1,100.00%
TC4_gui_complete.csv,folwen,v%inf,-en,1,100.00%
TC4_gui_complete.csv,receiven,v%imp,-e,1,100.00%
TC4_gui_complete.csv,gladen,v%inf,-de,1,100.00%
TC4_gui_complete.csv,corounen,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,shinen,v%pr_3,-eth,2,100.00%
TC4_gui_complete.csv,sechen,v%imp,-eth,1,100.00%
TC4_gui_complete.csv,assemblen,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,avisen,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,recoveren,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,herkenen,v%imp,-eth,2,100.00%
TC4_gui_complete.csv,serven,v%pr_3,-eth,1,100.00%
TC4_gui_complete.csv,coveiten,v%pr_3,-eth,1,100.00%
TC4_gui_complete.csv,neden,v%pt_3,-ed,1,100.00%
TC4_gui_complete.csv,restoren,v%inf,-en,1,100.00%
TC4_gui_complete.csv,purposen,v%pr_pl,-en,1,100.00%
TC4_gui_complete.csv,entercomunen,v%inf,-en,1,100.00%
TC4_gui_complete.csv,dwellen,v%inf,-e,1,100.00%
TC4_gui_complete.csv,dwellen,v%imp,-e,1,100.00%
TC4_gui_complete.csv,dwellen,v%pt_pl,-en,1,100.00%
TC4_gui_complete.csv,spenden,v%inf,-en,1,100.00%
TC4_gui_complete.csv,enchaunten,v%inf,-en,1,100.00%
TC4_gui_complete.csv,availen,v%pr_3,-eth,1,100.00%
TC4_gui_complete.csv,plukken,v%inf,-e,1,100.00%
TC4_gui_complete.csv,obligen,v%inf,-e,1,100.00%
TC4_gui_complete.csv,misforyeven,v%pt_3,other,1,100.00%
TC4_gui_complete.csv,deliten,v%pt_pl,-ed,1,100.00%
TC4_gui_complete.csv,bileven,v%inf,-en,1,100.00%
TC4_gui_complete.csv,plesen,v%inf,-en,1,100.00%
TC4_gui_complete.csv,remorden,v%pr_3,-de,1,100.00%
TC4_gui_complete.csv,honouren,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,juparten,v%pr_pl,-en,1,100.00%
TC4_gui_complete.csv,wanten,v%pr_3,-eth,1,100.00%
TC4_gui_complete.csv,driven,v%pt_3,other,1,100.00%
TC4_gui_complete.csv,flouren,v%pr_3,-eth,1,100.00%
TC4_gui_complete.csv,spotten,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,overcomen,v%pr_3,other,1,100.00%
TC4_gui_complete.csv,daunten,v%pr_3,-eth,1,100.00%
TC4_gui_complete.csv,stelen,v%inf,-en,1,100.00%
TC4_gui_complete.csv,mistrusten,v%pr_pl,-en,1,100.00%
TC4_gui_complete.csv,mistrusten,v%imp,-t,1,100.00%
TC4_gui_complete.csv,plighten,v%ppl,-t,1,100.00%
TC4_gui_complete.csv,agasten,v%ppl,-t,1,100.00%
TC4_gui_complete.csv,bitraishen,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,bridelen,v%pt_3,-ede,1,100.00%
TC4_gui_complete.csv,imaginen,v%inf,-en,1,100.00%
TC4_gui_complete.csv,consideren,v%inf,-e,1,100.00%
MilT_gui_complete.csv,ben,v%pt_3,other,40,88.89%
MilT_gui_complete.csv,ben,v%pt_3,-e,5,11.11%
MilT_gui_complete.csv,ben,v%pr_3,other,29,90.62%
